first_cmt,forum_links,last_posts,posts,stock_names
Next tufu fa : ),/servlets/forum/800000625.jsp?fp=7,"Mar 19, 08:14 AM","3,146",Stock: [MUDA]: MUDA HOLDINGS BHD
Wow... Lbalum going to announce good results,/servlets/forum/800001705.jsp?fp=7,"Mar 19, 08:00 AM","3,942",Stock: [LBALUM]: LB ALUMINIUM BHD
Orion,/servlets/forum/800004328.jsp?fp=7,"Mar 19, 07:58 AM",932,Stock: [DOLPHIN]: DOLPHIN INTERNATIONAL BHD
3311 @ Kita pun ingat camtu.,/servlets/forum/800000956.jsp?fp=7,"Mar 10, 03:42 PM",610,Stock: [YOCB]: YOONG ONN CORP BHD
"sleeping too long la, this counter. Bull market also, like that",/servlets/forum/800001231.jsp?fp=7,"Mar 19, 07:45 AM","8,983",Stock: [HUBLINE]: HUBLINE BHD
restart the son again.. GL!,/servlets/forum/800004055.jsp?fp=7,"Sep 27, 12:39 PM",203,Stock: [PESONA-WC]: PESONA METRO HOLDINGS BHD
"Ha ha, free angry bird shares to hit d mother shares gau gau",/servlets/forum/800000154.jsp?fp=7,"Mar 19, 06:48 AM","12,468",Stock: [SANICHI]: SANICHI TECHNOLOGY BHD
gone case like WA,/servlets/forum/800003735.jsp?fp=7,"Mar 19, 05:07 AM",23,Stock: [FAJAR-WB]: FAJARBARU BUILDER GROUP BHD
May I know how to download pdf from link below? https://klse.i3investor.com/bl...,/servlets/forum/800005607.jsp?fp=7,"Mar 19, 02:40 AM","2,795",Stock: [SERBADK]: SERBA DINAMIK HOLDINGS BHD
"btw, qr coming this month, could be a good catalyst to the share price.",/servlets/forum/800000994.jsp?fp=7,"Mar 19, 02:32 AM","1,393",Stock: [CYPARK]: CYPARK RESOURCES BHD
Going down.goodbye kgb.,/servlets/forum/800000171.jsp?fp=7,"Mar 19, 12:21 AM","2,635",Stock: [KGB]: KELINGTON GROUP BHD
https://www.theedgemarkets.com/article/what-og-recovery-subcontractors...-n...,/servlets/forum/800001086.jsp?fp=7,"Mar 18, 11:54 PM","1,031",Stock: [PETDAG]: PETRONAS DAGANGAN BHD
"If you scared, just queue at 0.045 and your investment much better than fix de...",/servlets/forum/800002592.jsp?fp=7,"Mar 18, 11:12 PM","2,626",Stock: [PASUKGB]: PASUKHAS GROUP BERHAD
Just aim 0.80 when latex days come... Yeppa yeppa yippeee yippeeee!!!!!!!,/servlets/forum/800003243.jsp?fp=7,"Mar 18, 11:05 PM","8,904",Stock: [KAREX]: KAREX BHD
Atlan you are saying it based on??,/servlets/forum/800007619.jsp?fp=7,"Mar 18, 10:33 PM",146,Stock: [TECHBND]: TECHBOND GROUP BERHAD
Opensys can apply transfer to main board because it had achieved 20 million pr...,/servlets/forum/800000048.jsp?fp=7,"Mar 18, 10:17 PM","2,743",Stock: [OPENSYS]: OPENSYS M BHD
50% dividend policy mana pergi,/servlets/forum/800000995.jsp?fp=7,"Feb 28, 11:45 PM","2,094",Stock: [AFFIN]: AFFIN HOLDINGS BHD
profit take...buy on weakness if U hv d faith,/servlets/forum/800000001.jsp?fp=7,"Mar 18, 09:55 PM","1,734",Stock: [SCOMNET]: SUPERCOMNET TECHNOLOGIES BHD
warrant up 20 pct ....casino is open there,/servlets/forum/800000555.jsp?fp=7,"Mar 18, 09:54 PM","17,973",Stock: [INSAS]: INSAS BHD
hello 5.20,/servlets/forum/800000289.jsp?fp=7,"Mar 18, 09:51 PM","2,900",Stock: [AMBANK]: AMMB HOLDINGS BHD
NSTP launches NewsConnect expo https://www.nst.com.my/news/nation/2019/03/4706...,/servlets/forum/800000694.jsp?fp=7,"Mar 18, 09:11 PM","3,750",Stock: [MEDIA]: MEDIA PRIMA BHD
"I not think so, likely bad",/servlets/forum/800001401.jsp?fp=7,"Mar 18, 07:44 PM",715,Stock: [ASTINO]: ASTINO BHD
belum start engine lagi le,/servlets/forum/800000987.jsp?fp=7,"Mar 18, 07:30 PM",821,Stock: [SIGGAS]: SIG GASES BHD
Received valid acceptances resulting in 56% shareholding in Kian Joo,/servlets/forum/800000879.jsp?fp=7,"Mar 18, 07:10 PM","1,863",Stock: [CANONE]: CAN-ONE BHD
Top up at 0.25...Downside is limited as i see the value.,/servlets/forum/800000954.jsp?fp=7,"Mar 18, 06:51 PM","2,312",Stock: [TAGB]: TA GLOBAL BHD
"Oh my god, PN17. Hopeless already.",/servlets/forum/800000107.jsp?fp=7,"Mar 18, 06:49 PM","7,320",Stock: [DAYA]: DAYA MATERIALS BHD
how great ?,/servlets/forum/800001617.jsp?fp=7,"Mar 18, 06:42 PM","1,451",Stock: [TALIWRK]: TALIWORKS CORP BHD
Water fall again,/servlets/forum/800006465.jsp?fp=7,"Mar 18, 06:38 PM",443,Stock: [SIMEPROP]: SIME DARBY PROPERTY BERHAD
I have been holding YTL Land  share for the last 20 years.  Why don't the ...,/servlets/forum/800000478.jsp?fp=7,"Mar 18, 06:27 PM",359,Stock: [YTLLAND]: YTL LAND & DEVELOPMENT BHD
Monitor to breakout.,/servlets/forum/800000432.jsp?fp=7,"Mar 18, 05:48 PM","1,159",Stock: [HARBOUR]: HARBOUR-LINK GROUP BHD
Why back to 21.5?,/servlets/forum/800000043.jsp?fp=7,"Mar 18, 05:39 PM","6,415",Stock: [RGB]: RGB INTERNATIONAL BHD
as usual ....,/servlets/forum/800004222.jsp?fp=7,"Mar 18, 05:06 PM","9,300",Stock: [BIOHLDG]: BIOALPHA HOLDINGS BHD
Bought some MTDACPI @ 17c in the afternoon...my bet for the NEXT construction ...,/servlets/forum/800001110.jsp?fp=7,"Mar 18, 04:55 PM",545,Stock: [MTDACPI]: MTD ACPI ENGINEERING BHD
"Wow, What happend to my Komark? It is going crazy already, now trading at 0.24...",#,"Mar 18, 04:42 PM",563,
"Wow, What happend to my Komark? It is going crazy already, now trading at 0.24...",/servlets/forum/800000466.jsp?fp=8,"Mar 18, 04:42 PM",563,Stock: [TANCO]: TANCO HOLDINGS BHD
"Wow, What happend to my Komark? It is going crazy already, now trading at 0.24...",/servlets/forum/800001670.jsp?fp=8,"Mar 18, 04:36 PM","7,380",Stock: [MKLAND]: MK LAND HOLDINGS BHD
Time to look at travel insurance.................................,/servlets/forum/800002886.jsp?fp=8,"Mar 18, 04:17 PM","3,881",Stock: [TUNEPRO]: TUNE PROTECT GROUP BHD
"today price down...and continuing tomorrow, kena trap",/servlets/forum/800001722.jsp?fp=8,"Mar 18, 03:55 PM",522,Stock: [KKB]: KKB ENGINEERING BHD
Wats wrong with kluang..,/servlets/forum/800000473.jsp?fp=8,"Mar 18, 03:55 PM",43,Stock: [KLUANG]: KLUANG RUBBER CO MALAYA BHD
buy now!!!!!!!,/servlets/forum/800000024.jsp?fp=8,"Mar 18, 03:38 PM","1,615",Stock: [PARLO]: PARLO BERHAD
https://www.theedgemarkets.com/article/asdion-buys-tumpat-supply-base-......,/servlets/forum/800000078.jsp?fp=8,"Mar 18, 01:40 PM",703,Stock: [ASDION]: ASDION BHD
2Q19 result marks the 4th consecutive disappointing quarter for its shareholde...,/servlets/forum/800001481.jsp?fp=8,"Feb 7, 10:42 AM",144,Stock: [IMASPRO]: IMASPRO CORP BHD
http://www.bursamalaysia.com/market/listed-companies/company-announcem......,/servlets/forum/800002001.jsp?fp=8,"Mar 18, 03:40 PM","2,593",Stock: [SUNWAY]: SUNWAY BHD
"Buying vol up again today, seems something is coming soon.",/servlets/forum/800001221.jsp?fp=8,"Mar 18, 03:39 PM","11,253",Stock: [BINTAI]: BINTAI KINDEN CORP BHD
Good...,/servlets/forum/800000317.jsp?fp=8,"Mar 18, 03:23 PM","5,177",Stock: [GOB]: GLOBAL ORIENTAL BHD
buy now before fly another high !!,/servlets/forum/800001534.jsp?fp=8,"Mar 18, 03:19 PM",993,Stock: [TECGUAN]: TECK GUAN PERDANA BHD
quiet only,/servlets/forum/800001464.jsp?fp=8,"Mar 14, 10:43 AM","1,244",Stock: [SUCCESS]: SUCCESS TRANSFORMER CORP BHD
don't forget this one,/servlets/forum/800006628.jsp?fp=8,"Mar 18, 03:13 PM",14,Stock: [SEACERA-WC]: SEACERA GROUP BERHAD
riader....Chobee never reached $4 and now profits collapsed.,/servlets/forum/800001096.jsp?fp=8,"Mar 18, 03:05 PM","1,002",Stock: [CHOOBEE]: CHOO BEE METAL INDUSTRIES BHD
1.62 wow.....,/servlets/forum/800000924.jsp?fp=8,"Mar 18, 03:04 PM",197,Stock: [TASCO]: TASCO BHD
This is a loss-making steel company for the past 5 years. There was some appea...,/servlets/forum/800001240.jsp?fp=8,"Mar 18, 02:58 PM",949,Stock: [YKGI]: YKGI HOLDINGS BHD
PH/BN sudah cuba apa bagus? Try Pas in GE15.,/servlets/forum/800001395.jsp?fp=8,"Mar 18, 02:52 PM","13,956",Stock: [SCOMI]: SCOMI GROUP BHD
Putting this counter on watchlist...moving on to Destiny...more action there,/servlets/forum/800000785.jsp?fp=8,"Mar 18, 02:32 PM",997,Stock: [HTPADU]: HEITECH PADU BHD
tunggu mati le,/servlets/forum/800001439.jsp?fp=8,"Mar 18, 01:39 PM","4,160",Stock: [BTM]: BTM RESOURCES BHD
another criminal suspect in the protasco fraud. ho chun fuat. looks like he is...,/servlets/forum/800000826.jsp?fp=8,"Mar 18, 01:36 PM","5,609",Stock: [PRTASCO]: PROTASCO BHD
ada chance tak?,/servlets/forum/800001201.jsp?fp=8,"Mar 18, 01:29 PM","2,439",Stock: [KUB]: KUB MALAYSIA BHD
wah noot bad moto racing,/servlets/forum/800001900.jsp?fp=8,"Mar 18, 01:23 PM","27,870",Stock: [XOX]: XOX BHD
"It is uptrend at the moment, waiting for it to boom, meet both TA and FA",/servlets/forum/800000795.jsp?fp=8,"Mar 18, 01:12 PM","13,091",Stock: [KSL]: KSL HOLDINGS BHD
Any news,/servlets/forum/800000351.jsp?fp=8,"Mar 18, 12:39 PM","1,267",Stock: [ASB]: ADVANCE SYNERGY BHD
"Hahaha, healthcare counter is like that la... Slow but steady...",/servlets/forum/800001386.jsp?fp=8,"Mar 18, 12:32 PM",458,Stock: [DPHARMA]: CCM DUOPHARMA BIOTECH BHD
This company has been in the red for the past 3 financial years. The reasons m...,/servlets/forum/800001514.jsp?fp=8,"Mar 18, 12:25 PM",500,Stock: [HANDAL]: HANDAL RESOURCES BHD
"Iris,Netx,Armada ,Puc,Orion ,Vsolar potential reach TP 0.20",/servlets/forum/800000626.jsp?fp=8,"Mar 18, 11:59 AM","3,582",Stock: [MUIIND]: MALAYAN UNITED INDUSTRIES BHD
"Many share counters you put above comment to promote MBMR, so desperate...",/servlets/forum/800004419.jsp?fp=8,"Mar 18, 11:41 AM","1,184",Stock: [IKHMAS]: IKHMAS JAYA GROUP BHD
"0.055 & 0.06 this morning. End April 19, we see how much it will gain.",/servlets/forum/800007825.jsp?fp=8,"Mar 18, 11:36 AM",2,Stock: [TAKAFUL-CC]: TAKAFUL-CC: CW SYARIKAT TAKAFUL MALAYSIA KELUARGA BERHAD (CIMB)
Injection from kerjaya. But not yet,/servlets/forum/800001297.jsp?fp=8,"Mar 18, 11:24 AM","1,632",Stock: [GSB]: GSB GROUP BHD
Sure kah.,/servlets/forum/800000115.jsp?fp=8,"Mar 18, 10:59 AM","35,750",Stock: [NEXGRAM]: NEXGRAM HOLDINGS BHD
KWAP is trading the KESM share. Short term Up or down of the share price large...,/servlets/forum/800001707.jsp?fp=8,"Mar 18, 10:40 AM","10,196",Stock: [KESM]: KESM INDUSTRIES BHD
this warrant already in-the-money..the best in Bursa right now.,/servlets/forum/800006158.jsp?fp=8,"Mar 18, 10:37 AM",9,Stock: [STRAITS-WA]: STRAITS INTER LOGISTICS BERHAD
Go go go,/servlets/forum/800000836.jsp?fp=8,"Mar 18, 10:27 AM","2,790",Stock: [M&G]: MARINE & GENERAL BHD
"Lousy directors, lousy companies..",/servlets/forum/800001214.jsp?fp=8,"Mar 1, 09:00 AM",968,Stock: [PASDEC]: PASDEC HOLDINGS BHD
Parking,/servlets/forum/800001319.jsp?fp=8,"Mar 18, 10:12 AM","1,080",Stock: [PIE]: P I E INDUSTRIAL BHD
https://klse.i3investor.com/m/blog/kokokai/198191.jsp,/servlets/forum/800000015.jsp?fp=8,"Mar 18, 09:54 AM",570,Stock: [BTECH]: BRITE-TECH BHD
better buy MASTER now,/servlets/forum/800000822.jsp?fp=8,"Mar 18, 09:44 AM",757,Stock: [ORNA]: ORNAPAPER BHD
"this vizione is moving too slow but steady, good for patient investor.",/servlets/forum/800001290.jsp?fp=8,"Mar 18, 08:59 AM","3,857",Stock: [VIZIONE]: VIZIONE HOLDINGS BHD
Invest here. HDD business is still relevant,/servlets/forum/800000082.jsp?fp=8,"Mar 18, 08:48 AM","7,781",Stock: [MQTECH]: MQ TECHNOLOGY BHD
This laggard will move very soon after taking a well deserved breather.,/servlets/forum/800001316.jsp?fp=8,"Mar 17, 11:04 PM",399,Stock: [UNIMECH]: UNIMECH GROUP BHD
am using Rakuten. Probably need to wait another 2-3 days.,/servlets/forum/800000976.jsp?fp=8,"Mar 17, 11:04 PM","1,297",Stock: [SUNREIT]: SUNWAY REAL ESTATE INVESTMENT TRUST
i think 23 sens safer,/servlets/forum/800005304.jsp?fp=8,"Mar 17, 10:44 PM",512,Stock: [BCMALL]: BCM ALLIANCE BHD
Testing,/servlets/forum/800001102.jsp?fp=8,"Mar 17, 10:26 PM","1,127",Stock: [KPJ]: KPJ HEALTHCARE BHD
TP RM 1.14. https://klse.i3investor.com/servlets/ptres/49731.jsp,/servlets/forum/800000972.jsp?fp=8,"Mar 17, 10:17 PM","1,993",Stock: [KIMLUN]: KIMLUN CORP BHD
continue to sleep...goodnight,/servlets/forum/800001252.jsp?fp=8,"Mar 17, 09:02 PM",48,Stock: [HIGHTEC]: KUMPULAN H & L HIGH-TECH BHD
Buy call for lkl. Huat a,/servlets/forum/800005014.jsp?fp=8,"Mar 17, 09:00 PM",420,Stock: [LKL]: LKL INTERNATIONAL BHD
Down force is too strong now,/servlets/forum/800001117.jsp?fp=8,"Mar 17, 08:22 PM","1,168",Stock: [MAXIS]: MAXIS BHD
monitor closely tomorrow,/servlets/forum/800001072.jsp?fp=8,"Mar 17, 08:18 PM","1,028",Stock: [MINHO]: MINHO (M) BHD
Starbucks demand is always good in Msia  Problem is the high valuation now wit...,#,"Mar 17, 06:21 PM",669,
Starbucks demand is always good in Msia  Problem is the high valuation now wit...,/servlets/forum/800001018.jsp?fp=9,"Mar 17, 06:21 PM",669,Stock: [BJFOOD]: BERJAYA FOOD BHD
OK boh nano 3 line,/servlets/forum/800001253.jsp?fp=9,"Mar 17, 06:06 PM","3,458",Stock: [TGUAN]: THONG GUAN INDUSTRIES BHD
"Day 14 of Fundamental Daily, YAPSS will be covering Dutch Lady Milk Industries...",/servlets/forum/800000509.jsp?fp=9,"Mar 17, 04:43 PM",688,Stock: [DLADY]: DUTCH LADY MILK INDUSTRIES BHD
https://klse.i3investor.com/blogs/general/198190.jsp [转贴] [SOUTHERN ACIDS (M) ...,/servlets/forum/800000919.jsp?fp=9,"Mar 17, 04:17 PM",469,Stock: [SAB]: SOUTHERN ACIDS (M) BHD
KYY golden rule only applied for those stock that he want to goreng.  Those th...,/servlets/forum/800001307.jsp?fp=9,"Mar 17, 01:31 PM","1,359",Stock: [QL]: QL RESOURCES BHD
TAkut apa? Aku di sini....kekeke,/servlets/forum/800007562.jsp?fp=9,"Mar 17, 10:08 AM",545,Stock: [SMETRIC]: SECUREMETRIC BERHAD
"Fasten ur seat belt, the train is almost departing.",/servlets/forum/800006556.jsp?fp=9,"Mar 15, 09:39 AM",416,Stock: [BINACOM]: BINASAT COMMUNICATIONS BERHAD
https://klse.i3investor.com/blogs/bursakakis/198182.jsp,/servlets/forum/800001012.jsp?fp=9,"Mar 17, 02:00 AM","2,744",Stock: [TAMBUN]: TAMBUN INDAH LAND BHD
https://klse.i3investor.com/blogs/call/197944.jsp,/servlets/forum/800000538.jsp?fp=9,"Mar 16, 10:59 PM",512,Stock: [BJASSET]: BERJAYA ASSETS BHD
"Mr Check , will it be due to more revevenue and more profit ? Next week Wednes...",/servlets/forum/800001498.jsp?fp=9,"Mar 16, 09:54 PM","2,411",Stock: [SUPERLN]: SUPERLON HOLDINGS BHD
Refuse to consolidate means more uptrend expected,/servlets/forum/800000921.jsp?fp=9,"Mar 16, 09:11 PM",513,Stock: [COMPLET]: COMPLETE LOGISTIC SERVICES BHD
"Then you buy lo, since you know how to value it. Really bodoh, everything I sa...",/servlets/forum/800001310.jsp?fp=9,"Mar 16, 08:36 PM",679,Stock: [LTKM]: LTKM BHD
can up not tas,/servlets/forum/800000946.jsp?fp=9,"Mar 16, 07:01 PM","3,004",Stock: [TAS]: TAS OFFSHORE BHD
"Day 13 of Fundamental Daily, YAPSS will be covering Chin Well Holdings Berhad&...",/servlets/forum/800000758.jsp?fp=9,"Mar 16, 04:47 PM","2,303",Stock: [CHINWEL]: CHIN WELL HOLDINGS BHD
Shah Alam plant 1 : office building expansion completed ( will free up space &...,/servlets/forum/800000592.jsp?fp=9,"Mar 16, 02:49 PM",914,Stock: [PANAMY]: PANASONIC MANUFACTURING MALAYSIA BHD
Revival of ALCOM ? coming back into light again ?,/servlets/forum/800000484.jsp?fp=9,"Mar 16, 02:43 PM","4,854",Stock: [ALCOM]: ALUMINIUM CO OF MALAYSIA BHD
https://klse.i3investor.com/blogs/general/198167.jsp [转贴] [ROHAS TECNIC BHD：年内...,/servlets/forum/800001759.jsp?fp=9,"Mar 16, 01:08 PM",412,Stock: [ROHAS]: ROHAS TECNIC BHD
"This is not a good stock, go to KNM more upside gain. This stock you can keep ...",/servlets/forum/800000577.jsp?fp=9,"Mar 16, 12:10 PM","9,479",Stock: [MARCO]: MARCO HOLDINGS BHD
https://klse.i3investor.com/blogs/general/198165.jsp [转贴] [Facebook live:浅谈UMW...,/servlets/forum/800000700.jsp?fp=9,"Mar 16, 11:01 AM","1,651",Stock: [UMW]: UMW HOLDINGS BHD
Econ is like a professional pilings company instead of general construction co...,/servlets/forum/800006554.jsp?fp=9,"Mar 16, 10:46 AM",20,Stock: [ECONBHD-WA]: ECONPILE HOLDINGS BERHAD
"Blue chip,you are right,this counter ready ready lousy,majority counter alread...",/servlets/forum/800001654.jsp?fp=9,"Mar 16, 09:48 AM",577,Stock: [TEXCHEM]: TEXCHEM RESOURCES BHD
wow....net asset per share more than 40cts with net cash of rm90M. generate ne...,/servlets/forum/800000651.jsp?fp=9,"Mar 15, 10:39 PM","16,517",Stock: [PMCORP]: PAN MALAYSIA CORP BHD
Just wanna know if Ajinomoto have potential to increase the market price or no...,/servlets/forum/800000483.jsp?fp=9,"Mar 15, 09:58 PM","1,167",Stock: [AJI]: AJINOMOTO (MALAYSIA) BHD
ini share baru bangun tdo.... ada cter bagus ka,/servlets/forum/800001696.jsp?fp=9,"Mar 15, 09:35 PM",196,Stock: [SCIB]: SARAWAK CONSOLIDATED INDUSTRIES BHD
"TG is higher level as kossan and harta. Mid is supermax, then comfort. Next is...",/servlets/forum/800000435.jsp?fp=9,"Mar 15, 05:58 PM","9,096",Stock: [COMFORT]: COMFORT GLOVES BHD
"""Malaysian REITs yields to stay at 4% to 5% this year""  https://www.th...",/servlets/forum/800002626.jsp?fp=9,"Mar 15, 07:27 PM","1,343",Stock: [IGBREIT]: IGB REAL ESTATE INVESTMENT TRUST
Let's start,/servlets/forum/800007871.jsp?fp=9,"Mar 15, 07:18 PM",1,Stock: [SAPNRGC76]: SAPNRGC76: CW SAPURA ENERGY BERHAD (MACQ)
"LRT3 project back on track, completion in Feb 2024 LRT3 Friday, February 22nd,...",/servlets/forum/800001693.jsp?fp=9,"Feb 23, 11:14 AM",314,Stock: [LYSAGHT]: LYSAGHT GALVANIZED STEEL BHD
Oh you mean quarterly revenue. I thought you mean profit for some odd reason. ...,/servlets/forum/800001702.jsp?fp=9,"Mar 15, 05:21 PM","3,384",Stock: [RCECAP]: RCE CAPITAL BHD
disposal? dispose to who?,/servlets/forum/800001619.jsp?fp=9,"Mar 15, 04:46 PM",261,Stock: [SINOTOP]: SINOTOP HOLDINGS BHD
Cheh. Only reach 0.14 pun jatuh. setiap kali reach 0.14 jatuh. Memang company ...,/servlets/forum/800001383.jsp?fp=9,"Mar 15, 04:38 PM","1,968",Stock: [PSIPTEK]: PRINSIPTEK CORP BHD
Lai Liao Lai Liao...11 otw,/servlets/forum/800000544.jsp?fp=9,"Mar 15, 03:58 PM","1,608",Stock: [HLIND]: HONG LEONG INDUSTRIES BHD
I know ppl who bought this years ago JUST to collect the AGM gifts... really l...,/servlets/forum/800001911.jsp?fp=9,"Mar 15, 03:26 PM",167,Stock: [MSM]: MSM MALAYSIA HOLDINGS BHD
"Oh My goodness, Sapnrg was trading now at 0.37 (+0.02) (+5.7%) now!  It was hi...",/servlets/forum/800000878.jsp?fp=9,"Mar 15, 02:59 PM",160,Stock: [CNI]: CNI HOLDINGS BHD
"Oh My goodness, Sapnrg was trading now at 0.37 (+0.02) (+5.7 percent) now!  It...",/servlets/forum/800001449.jsp?fp=9,"Mar 15, 02:58 PM","12,251",Stock: [COMCORP]: COMINTEL CORP BHD
"Oh My goodness, Sapnrg was trading now at 0.37 (+0.02) (+5.7 percent) now!  It...",/servlets/forum/800000570.jsp?fp=9,"Mar 15, 02:58 PM","3,321",Stock: [JOHAN]: JOHAN HOLDINGS BHD
"Ikan jeruk ini terbalik badannya, perut mengarah ke langit, kerana kena tuba.",/servlets/forum/800001497.jsp?fp=9,"Mar 15, 02:02 PM",127,Stock: [MESB]: MESB BHD
"not cheap enough , but buy on weakness. sure win stock .(^o^)",/servlets/forum/800000513.jsp?fp=9,"Mar 15, 01:52 PM","1,459",Stock: [MFCB]: MEGA FIRST CORP BHD
"If the acquisition is approved, its gearing will jump from current 0.05x to 0....",/servlets/forum/800001108.jsp?fp=9,"Mar 15, 01:50 PM","1,358",Stock: [DKSH]: DKSH HOLDINGS MALAYSIA BHD
hahahaha. fat dude act like he smart. come out news everywhere then got demote...,/servlets/forum/800001962.jsp?fp=9,"Mar 15, 01:37 PM",650,Stock: [PLABS]: PETERLABS HOLDINGS BHD
govement project and oil and gas projest coming soon,/servlets/forum/800001089.jsp?fp=9,"Mar 15, 01:34 PM","2,164",Stock: [MUHIBAH]: MUHIBBAH ENGINEERING (M) BHD
Jilat buntut hisap konek,/servlets/forum/800004715.jsp?fp=9,"Mar 15, 01:25 PM","1,103",Stock: [RSENA]: RED SENA BHD
The last time  start selling at 0.45 cents until  few units at 0.995 cents now...,/servlets/forum/800000020.jsp?fp=9,"Mar 15, 12:47 PM",251,Stock: [LAMBO]: LAMBO GROUP BERHAD
Industrial Production Index (IPI) - Decent Start For January 2019   https://kl...,/servlets/forum/800000855.jsp?fp=9,"Mar 15, 12:27 PM","28,459",Stock: [HEVEA]: HEVEABOARD BHD
The company’s 12 months trailing profit is only RM1.1mil which is very low giv...,/servlets/forum/800001495.jsp?fp=9,"Mar 15, 12:14 PM",167,Stock: [RESINTC]: RESINTECH BHD
AGM ON 20/3 ?,/servlets/forum/800001708.jsp?fp=9,"Mar 15, 12:13 PM","11,114",Stock: [ANZO]: ANZO HOLDINGS BHD
Rising for the poultry after o&g ...shall be on the wactch !,/servlets/forum/800001513.jsp?fp=9,"Mar 15, 12:08 PM","4,510",Stock: [TEOSENG]: TEO SENG CAPITAL BHD
https://klse.i3investor.com/blogs/general/198030.jsp [转贴] [BERMAZ AUTO BHD：马来西...,/servlets/forum/800003273.jsp?fp=9,"Mar 15, 11:38 AM","3,114",Stock: [BAUTO]: BERMAZ AUTO BHD
Just wonder when is the listing for Vietnam business?,/servlets/forum/800000935.jsp?fp=9,"Mar 15, 11:37 AM",509,Stock: [SAMCHEM]: SAMCHEM HOLDINGS BHD
Don't waste time & money in Mpay. It is hopeless. Very bad management....,/servlets/forum/800000177.jsp?fp=9,"Mar 15, 11:31 AM","14,297",Stock: [MPAY]: MANAGEPAY SYSTEMS BHD
Oil and Gas equipment supply company with very good FA. Last Q EPS 3.06 sen an...,#,"Mar 15, 10:09 AM",211,
Oil and Gas equipment supply company with very good FA. Last Q EPS 3.06 sen an...,/servlets/forum/800000966.jsp?fp=10,"Mar 15, 10:09 AM",211,Stock: [TURBO]: TURBO-MECH BHD
Why IPO 85 sen can be approved for 1 sen ctr today?,/servlets/forum/800000947.jsp?fp=10,"Mar 15, 10:05 AM","3,655",Stock: [MSPORTS]: MULTI SPORTS HOLDINGS LTD
Why IPO RM 1 can approved when only 21 sen fair value today?,/servlets/forum/800000975.jsp?fp=10,"Mar 15, 09:51 AM","3,043",Stock: [IVORY]: IVORY PROPERTIES GROUP BERHAD
add some more,/servlets/forum/800000064.jsp?fp=10,"Mar 15, 09:09 AM","6,005",Stock: [SERSOL]: SERSOL BHD
来了,/servlets/forum/800000645.jsp?fp=10,"Mar 15, 09:00 AM","8,303",Stock: [ASIAPAC]: ASIAN PAC HOLDINGS BHD
Campap's 2019 catalogue is out. They've added a new series under the C...,/servlets/forum/800001719.jsp?fp=10,"Mar 15, 01:14 AM",440,Stock: [CWG]: CWG HOLDINGS BHD
"Something cooking ka? Cook lobster ka? Mau tambah takut, tak tambah rugi. Haiy...",/servlets/forum/800001487.jsp?fp=10,"Jan 7, 04:56 PM",157,Stock: [WATTA]: WATTA HOLDING BHD
this Golden Warrant will give much much higher return compare to his mother :-),/servlets/forum/800006316.jsp?fp=10,"Mar 14, 11:38 PM",89,Stock: [VELESTO-WA]: UMW OIL & GAS CORPORATION BERHAD
Power come April,/servlets/forum/800001500.jsp?fp=10,"Mar 14, 11:14 PM","1,751",Stock: [PWROOT]: POWER ROOT BHD
Any idea what caused this counter to move high?,/servlets/forum/800000949.jsp?fp=10,"Jan 23, 06:17 AM",601,Stock: [HALEX]: HALEX HOLDINGS BHD
bagger tag of 2.50.,/servlets/forum/800001582.jsp?fp=10,"Mar 14, 07:37 PM","1,801",Stock: [LEESK]: LEE SWEE KIAT GROUP BHD
dreaming may come true...facts still downtrend stk for long term.,/servlets/forum/800001484.jsp?fp=10,"Mar 14, 05:23 PM",908,Stock: [PA]: P.A. RESOURCES BHD
"Day 11 of Fundamental Daily, YAPSS will be covering Tong Herr Resources Berhad...",/servlets/forum/800000761.jsp?fp=10,"Mar 14, 05:01 PM",534,Stock: [TONGHER]: TONG HERR RESOURCES BHD
nama boiler tapi tak hangat pon,/servlets/forum/800001840.jsp?fp=10,"Mar 14, 04:27 PM",370,Stock: [BOILERM]: BOILERMECH HOLDINGS BHD
BOUGHT back my Ayer shares sold on 17th Dec for 4.30 today =),/servlets/forum/800000462.jsp?fp=10,"Mar 14, 03:46 PM",93,Stock: [AYER]: AYER HOLDINGS BHD
"8 Mar 2019 CONNECT  CHANG CHOON MING Disposed 23,350,000 shares",/servlets/forum/800000123.jsp?fp=10,"Mar 14, 03:05 PM","2,192",Stock: [CONNECT]: CONNECTCOUNTY HOLDINGS BHD
"Just buy LTKM, current price for LTKM RM1.25 only. Potential upside should be ...",/servlets/forum/800001421.jsp?fp=10,"Mar 14, 02:59 PM","3,771",Stock: [CAB]: CAB CAKARAN CORP BHD
"Zuraida Huayang house is ""mampu milik"" like govn want?",/servlets/forum/800000821.jsp?fp=10,"Feb 22, 12:27 PM","3,282",Stock: [HUAYANG]: HUA YANG BHD
ESOS again. Seems like taking the public for a ride. Publicly listed for insid...,/servlets/forum/800000932.jsp?fp=10,"Mar 14, 02:39 PM","1,489",Stock: [LUXCHEM]: LUXCHEM CORP BHD
Banker warrant no LAKU,/servlets/forum/800007415.jsp?fp=10,"Mar 14, 02:36 PM",24,Stock: [GBGAQRS-WB]: GABUNGAN AQRS BERHAD
